color,line,org,org_lat,org_lon,dst,dst_lat,dst_lon,dist
#837902,3,Villiers,48.8814051,2.3161470509,Malesherbes,48.882536473,2.311009243,0.2468579386
#837902,3,Malesherbes,48.882536473,2.311009243,Wagram,48.883712476,2.3055577575,0.2613938833
#837902,3,Wagram,48.883712476,2.3055577575,Pereire,48.885031061,2.2971351115,0.3945032065
#837902,3,Pereire,48.885031061,2.2971351115,Porte de Champerret,48.88573916,2.2918606207,0.2452940101
#837902,3,Porte de Champerret,48.88573916,2.2918606207,Louise Michel,48.889269622,2.2880551248,0.2993128629
#837902,3,Louise Michel,48.889269622,2.2880551248,Anatole-France,48.892018626,2.2855174448,0.2223860025
#837902,3,Anatole-France,48.892018626,2.2855174448,Pont de Levallois-Bécon,48.897309905,2.2807686428,0.4248568583
#6EC4E8,3b,Porte des Lilas,48.876938224,2.4063765669,Saint-Fargeau,48.871699811,2.4042987242,0.3741648146
#6EC4E8,3b,Saint-Fargeau,48.871699811,2.4042987242,Pelleport,48.868223348,2.4013243805,0.275848658
#6EC4E8,3b,Pelleport,48.868223348,2.4013243805,Gambetta,48.865034298,2.3985414869,0.2542764188
#CF009E,4,Porte de Clignancourt,48.89797017,2.3439883834,Simplon,48.894042555,2.3473135786,0.3108249916
#CF009E,4,Simplon,48.894042555,2.3473135786,Marcadet-Poissonniers,48.891543931,2.3493711154,0.1964685926
#CF009E,4,Marcadet-Poissonniers,48.891543931,2.3493711154,Château Rouge,48.887086283,2.3493700733,0.3080287767
#CF009E,4,Château Rouge,48.887086283,2.3493700733,Barbès-Rochechouart,48.88393177,2.3493557086,0.2179814631
#CF009E,4,Barbès-Rochechouart,48.88393177,2.3493557086,Gare du Nord,48.879743064,2.3546008105,0.3753917274
#CF009E,4,Gare du Nord,48.879743064,2.3546008105,Gare de l'Est (Verdun),48.876695836,2.3579925106,0.2612183312
#CF009E,4,Gare de l'Est (Verdun),48.876695836,2.3579925106,Château d'Eau,48.872454151,2.3560561681,0.3061049912
#CF009E,4,Château d'Eau,48.872454151,2.3560561681,Strasbourg-Saint-Denis,48.869632365,2.3545020631,0.2074585142
#CF009E,4,Strasbourg-Saint-Denis,48.869632365,2.3545020631,Réaumur-Sébastopol,48.86604667,2.352620954,0.262194938
#CF009E,4,Réaumur-Sébastopol,48.86604667,2.352620954,Etienne Marcel,48.863710366,2.3489831961,0.2314463718
#CF009E,4,Etienne Marcel,48.863710366,2.3489831961,Les Halles,48.862011971,2.3464764519,0.1638135648
#CF009E,4,Les Halles,48.862011971,2.3464764519,Châtelet,48.858300056,2.3478650876,0.2641950349
#CF009E,4,Châtelet,48.858300056,2.3478650876,Cité,48.85568485,2.3462029295,0.1959620549
#CF009E,4,Cité,48.85568485,2.3462029295,Saint-Michel,48.853599908,2.3439962411,0.1757311608
#CF009E,4,Saint-Michel,48.853599908,2.3439962411,Odéon,48.852198045,2.338780003,0.2568322599
#CF009E,4,Odéon,48.852198045,2.338780003,Saint-Germain des Prés,48.853447238,2.333046326,0.27534017
#CF009E,4,Saint-Germain des Prés,48.853447238,2.333046326,Saint-Sulpice,48.851146355,2.3309628564,0.1852169398
#CF009E,4,Saint-Sulpice,48.851146355,2.3309628564,Saint-Placide,48.84701184,2.3270551114,0.3367220758
#CF009E,4,Saint-Placide,48.84701184,2.3270551114,Montparnasse-Bienvenue,48.844189509,2.3244412324,0.2285742568
#CF009E,4,Montparnasse-Bienvenue,48.844189509,2.3244412324,Vavin,48.842059858,2.3288670504,0.2498064636
#CF009E,4,Vavin,48.842059858,2.3288670504,Raspail,48.839156981,2.3304741512,0.2135645848
#CF009E,4,Raspail,48.839156981,2.3304741512,Denfert-Rochereau,48.834276813,2.3322037973,0.3463291541
#CF009E,4,Denfert-Rochereau,48.834276813,2.3322037973,Mouton-Duvernet,48.832191599,2.3304069926,0.1657721283
#CF009E,4,Mouton-Duvernet,48.832191599,2.3304069926,Alésia,48.82806602,2.3268274201,0.3285403223
#CF009E,4,Alésia,48.82806602,2.3268274201,Porte d'Orléans (Général Leclerc),48.82281706,2.3250726251,0.371436817
#CF009E,4,Porte d'Orléans (Général Leclerc),48.82281706,2.3250726251,Mairie de Montrouge,48.818466337,2.3196432186,0.3895625927
#FF7E2E,5,Bobigny-Pablo-Picasso,48.907147313,2.4494575045,Bobigny-Pantin (Raymond Queneau),48.895799233,2.4248572984,1.3678023719
#FF7E2E,5,Bobigny-Pantin (Raymond Queneau),48.895799233,2.4248572984,Eglise de Pantin,48.893632528,2.412900266,0.5649925815
#FF7E2E,5,Eglise de Pantin,48.893632528,2.412900266,Hoche,48.891499384,2.4031249607,0.4691645634
#FF7E2E,5,Hoche,48.891499384,2.4031249607,Porte de Pantin,48.888583981,2.3924228757,0.5276341541
