org,org_lat,org_lon,dst,dst_lat,dst_lon,color,line,dist
Michel-Ange-Auteuil,48.847924593,2.2642359058,Jasmin,48.852438519,2.267933923,#B6BD00,9,0.3545857857
Jasmin,48.852438519,2.267933923,Ranelagh,48.855504403,2.2699591783,#B6BD00,9,0.2311086134
Ranelagh,48.855504403,2.2699591783,La Muette,48.85809505,2.2740964481,#B6BD00,9,0.2600662273
La Muette,48.85809505,2.2740964481,Rue de la Pompe (Avenue Georges Mandel),48.864253384,2.277916762,#B6BD00,9,0.4598132097
Rue de la Pompe (Avenue Georges Mandel),48.864253384,2.277916762,Trocadéro,48.863089135,2.2868403785,#B6BD00,9,0.4147130468
Trocadéro,48.863089135,2.2868403785,Iéna,48.8643502,2.2940452638,#B6BD00,9,0.3398383659
Iéna,48.8643502,2.2940452638,Alma-Marceau,48.864298671,2.3012514104,#B6BD00,9,0.3285490475
Alma-Marceau,48.864298671,2.3012514104,Franklin-Roosevelt,48.868812632,2.3099263245,#B6BD00,9,0.5036791873
Franklin-Roosevelt,48.868812632,2.3099263245,Saint-Philippe du Roule,48.872470666,2.3107691012,#B6BD00,9,0.2556764485
Saint-Philippe du Roule,48.872470666,2.3107691012,Miromesnil,48.873532141,2.3155780249,#B6BD00,9,0.231148357
Miromesnil,48.873532141,2.3155780249,Saint-Augustin,48.87438676,2.320727832,#B6BD00,9,0.2420503287
Saint-Augustin,48.87438676,2.320727832,Havre-Caumartin,48.873425977,2.3289709733,#B6BD00,9,0.3815552744
Havre-Caumartin,48.873425977,2.3289709733,Chaussée d'Antin (La Fayette),48.872859989,2.3330447509,#B6BD00,9,0.1897657505
Chaussée d'Antin (La Fayette),48.872859989,2.3330447509,Richelieu-Drouot,48.872096124,2.3393255559,#B6BD00,9,0.2911218672
Richelieu-Drouot,48.872096124,2.3393255559,Grands Boulevards,48.871511817,2.3432083775,#B6BD00,9,0.1815392598
Grands Boulevards,48.871511817,2.3432083775,Bonne Nouvelle,48.870495832,2.3488621174,#B6BD00,9,0.267112106
Bonne Nouvelle,48.870495832,2.3488621174,Strasbourg-Saint-Denis,48.869227931,2.3545291754,#B6BD00,9,0.2727864719
Strasbourg-Saint-Denis,48.869227931,2.3545291754,République,48.867410829,2.3635878256,#B6BD00,9,0.4316205374
République,48.867410829,2.3635878256,Oberkampf,48.864974291,2.3676324116,#B6BD00,9,0.2496916054
Oberkampf,48.864974291,2.3676324116,Saint-Ambroise,48.861647424,2.3731471408,#B6BD00,9,0.340679517
Saint-Ambroise,48.861647424,2.3731471408,Voltaire (Léon Blum),48.857663726,2.3800362968,#B6BD00,9,0.4176610685
Voltaire (Léon Blum),48.857663726,2.3800362968,Charonne,48.854642047,2.3850321933,#B6BD00,9,0.3090160506
Charonne,48.854642047,2.3850321933,Rue des Boulets,48.852222713,2.3891156509,#B6BD00,9,0.2502421625
Rue des Boulets,48.852222713,2.3891156509,Nation,48.849010154,2.3976646128,#B6BD00,9,0.4486277931
Nation,48.849010154,2.3976646128,Buzenval,48.851767475,2.4011814839,#B6BD00,9,0.2490468439
Buzenval,48.851767475,2.4011814839,Maraîchers,48.852600402,2.4063849896,#B6BD00,9,0.2441669019
Maraîchers,48.852600402,2.4063849896,Porte de Montreuil,48.853379878,2.4104581874,#B6BD00,9,0.1933919755
Porte de Montreuil,48.853379878,2.4104581874,Robespierre,48.855680808,2.4236590855,#B6BD00,9,0.6225934082
Robespierre,48.855680808,2.4236590855,Croix-de-Chavaux (Jacques Duclos),48.857999073,2.4358668957,#B6BD00,9,0.5792320774
Croix-de-Chavaux (Jacques Duclos),48.857999073,2.4358668957,Mairie de Montreuil,48.862280986,2.4418276791,#B6BD00,9,0.4017579355
Boulogne Pont de Saint-Cloud,48.840680163,2.2283136617,Boulogne-Jean-Jaurès,48.842280144,2.2388629754,#C9910D,10,0.4937028669
Boulogne-Jean-Jaurès,48.842280144,2.2388629754,Michel-Ange-Molitor,48.844984487,2.262320039,#C9910D,10,1.0860511917
Michel-Ange-Molitor,48.844984487,2.262320039,Chardon-Lagache,48.84510414,2.266936059,#C9910D,10,0.2106884521
Chardon-Lagache,48.84510414,2.266936059,Mirabeau,48.847084859,2.2730749149,#C9910D,10,0.3116379739
Mirabeau,48.847084859,2.2730749149,Javel-André-Citroen,48.84596388,2.2778151264,#C9910D,10,0.229642279
Javel-André-Citroen,48.84596388,2.2778151264,Charles Michels,48.846362976,2.2856310659,#C9910D,10,0.3575244481
Charles Michels,48.846362976,2.2856310659,Avenue Emile-Zola,48.846852152,2.2954488279,#C9910D,10,0.4490259461
Avenue Emile-Zola,48.846852152,2.2954488279,La Motte-Picquet-Grenelle,48.848821267,2.297952964,#C9910D,10,0.17764089
La Motte-Picquet-Grenelle,48.848821267,2.297952964,Ségur,48.846864702,2.3072688476,#C9910D,10,0.4458460755
Ségur,48.846864702,2.3072688476,Duroc,48.846848769,2.3169373108,#C9910D,10,0.4409420453
Duroc,48.846848769,2.3169373108,Vaneau,48.84870085,2.3212398819,#C9910D,10,0.2342671678
Vaneau,48.84870085,2.3212398819,Sèvres-Babylone,48.850939288,2.3261146548,#C9910D,10,0.2708232311
Sèvres-Babylone,48.850939288,2.3261146548,Mabillon,48.852845134,2.3351437185,#C9910D,10,0.4322875907
Mabillon,48.852845134,2.3351437185,Odéon,48.852314881,2.3388617203,#C9910D,10,0.1734582663
Odéon,48.852314881,2.3388617203,Cluny-La Sorbonne,48.850795756,2.3450308884,#C9910D,10,0.3002717904
Cluny-La Sorbonne,48.850795756,2.3450308884,Maubert-Mutualité,48.84971694,2.3489255585,#C9910D,10,0.1926189497
Maubert-Mutualité,48.84971694,2.3489255585,Cardinal-Lemoine,48.846705869,2.351335179,#C9910D,10,0.2353036757
Cardinal-Lemoine,48.846705869,2.351335179,Jussieu,48.845761757,2.3545485949,#C9910D,10,0.1604179218
Jussieu,48.845761757,2.3545485949,Gare d'Austerlitz,48.843719861,2.3639162172,#C9910D,10,0.4499343398
Mairie des Lilas,48.880051062,2.4156602061,Porte des Lilas,48.877234717,2.406526843,#704B1C,11,0.4595185985
Porte des Lilas,48.877234717,2.406526843,Télégraphe,48.875522449,2.3986765111,#704B1C,11,0.3768675613
Télégraphe,48.875522449,2.3986765111,Place des Fêtes,48.876729469,2.3931460318,#704B1C,11,0.2655167445
Place des Fêtes,48.876729469,2.3931460318,Jourdain,48.875248295,2.3893294342,#704B1C,11,0.201835112
Jourdain,48.875248295,2.3893294342,Pyrénées,48.873821172,2.3848863722,#704B1C,11,0.2252530843
Pyrénées,48.873821172,2.3848863722,Belleville,48.871945798,2.3767510414,#704B1C,11,0.3928195332
Belleville,48.871945798,2.3767510414,Goncourt (Hôpital Saint-Louis),48.870015355,2.370768799,#704B1C,11,0.3035740461
Goncourt (Hôpital Saint-Louis),48.870015355,2.370768799,République,48.867240185,2.3630564459,#704B1C,11,0.400476444
République,48.867240185,2.3630564459,Arts-et-Métiers,48.865381176,2.3556449312,#704B1C,11,0.3614748978
Arts-et-Métiers,48.865381176,2.3556449312,Rambuteau,48.861193396,2.3532869599,#704B1C,11,0.3087024534
Rambuteau,48.861193396,2.3532869599,Hôtel de Ville,48.857805373,2.3514607765,#704B1C,11,0.2484810431
Hôtel de Ville,48.857805373,2.3514607765,Châtelet,48.858857284,2.3477698567,#704B1C,11,0.1833167411
Mairie d'Issy,48.824346526,2.2735658296,Corentin-Celton,48.826829887,2.2789668616,#007852,12,0.3002863456
Corentin-Celton,48.826829887,2.2789668616,Porte de Versailles,48.832253453,2.2878641378,#007852,12,0.5524635467
Porte de Versailles,48.832253453,2.2878641378,Convention,48.83713695,2.2963960902,#007852,12,0.515124316
Convention,48.83713695,2.2963960902,Vaugirard (Adolphe Chérioux),48.839439281,2.3010780425,#007852,12,0.2663063928
Vaugirard (Adolphe Chérioux),48.839439281,2.3010780425,Volontaires,48.841418443,2.3079936494,#007852,12,0.3438055945
Volontaires,48.841418443,2.3079936494,Pasteur,48.842830542,2.3126633078,#007852,12,0.234272946
Pasteur,48.842830542,2.3126633078,Falguière,48.844323383,2.3175646762,#007852,12,0.2461998733
Falguière,48.844323383,2.3175646762,Montparnasse-Bienvenue,48.844027636,2.3235697972,#007852,12,0.2746460117
Montparnasse-Bienvenue,48.844027636,2.3235697972,Notre-Dame des Champs,48.844783048,2.3284444833,#007852,12,0.2283718559
Notre-Dame des Champs,48.844783048,2.3284444833,Rennes,48.848198269,2.3280217486,#007852,12,0.2367802553
Rennes,48.848198269,2.3280217486,Sèvres-Babylone,48.851577469,2.3268907883,#007852,12,0.2391332237
Sèvres-Babylone,48.851577469,2.3268907883,Rue du Bac,48.855891338,2.3257049939,#007852,12,0.3029561185
Rue du Bac,48.855891338,2.3257049939,Solférino,48.85853336,2.3230892488,#007852,12,0.2180721039
Solférino,48.85853336,2.3230892488,Assemblée Nationale,48.861453904,2.3203096905,#007852,12,0.2383044672
Assemblée Nationale,48.861453904,2.3203096905,Concorde,48.865489391,2.3214117892,#007852,12,0.2833463112
Concorde,48.865489391,2.3214117892,Madeleine,48.869794715,2.324612012,#007852,12,0.3313473324
Madeleine,48.869794715,2.324612012,Saint-Lazare,48.875420978,2.3266952721,#007852,12,0.4002095214
Saint-Lazare,48.875420978,2.3266952721,Trinité-d'Estienne d'Orves,48.876329037,2.3318045685,#007852,12,0.2411856677
Trinité-d'Estienne d'Orves,48.876329037,2.3318045685,Notre-Dame de Lorette,48.876050554,2.337908692,#007852,12,0.278887191
Notre-Dame de Lorette,48.876050554,2.337908692,Saint-Georges,48.878593955,2.3378269689,#007852,12,0.1757911467
Saint-Georges,48.878593955,2.3378269689,Pigalle,48.88202709,2.3372138017,#007852,12,0.2388736021
Pigalle,48.88202709,2.3372138017,Abbesses,48.884399715,2.3383993842,#007852,12,0.1726246191
Abbesses,48.884399715,2.3383993842,Lamarck-Caulaincourt,48.889738108,2.3391490867,#007852,12,0.3704677802
Lamarck-Caulaincourt,48.889738108,2.3391490867,Jules Joffrin,48.892496977,2.3443284106,#007852,12,0.3033813794
Jules Joffrin,48.892496977,2.3443284106,Marcadet-Poissonniers,48.891606823,2.349548311,#007852,12,0.2456700122
Marcadet-Poissonniers,48.891606823,2.349548311,Marx-Dormoy,48.890374081,2.3597970087,#007852,12,0.4746976267
Marx-Dormoy,48.890374081,2.3597970087,Porte de la Chapelle,48.897959343,2.3592550696,#007852,12,0.5247324103
Porte de la Chapelle,48.897959343,2.3592550696,Front Populaire,48.906666588,2.3652301359,#007852,12,0.6603889665
Châtillon Montrouge,48.810283364,2.301288871,Malakoff-Rue Etienne Dolet,48.814704061,2.2972847302,#6EC4E8,13,0.3559577924
Malakoff-Rue Etienne Dolet,48.814704061,2.2972847302,Malakoff-Plateau de Vanves,48.822442694,2.2979321053,#6EC4E8,13,0.5355575642
Malakoff-Plateau de Vanves,48.822442694,2.2979321053,Porte de Vanves,48.827765327,2.3043123508,#6EC4E8,13,0.4690581317
Porte de Vanves,48.827765327,2.3043123508,Plaisance,48.831758094,2.3138665498,#6EC4E8,13,0.5158599227
Plaisance,48.831758094,2.3138665498,Pernety,48.83393382,2.3179089722,#6EC4E8,13,0.237929542
Pernety,48.83393382,2.3179089722,Gaîté,48.838751821,2.3225091862,#6EC4E8,13,0.3935398633
Gaîté,48.838751821,2.3225091862,Montparnasse-Bienvenue,48.84207702,2.3210104496,#6EC4E8,13,0.2397266624
Montparnasse-Bienvenue,48.84207702,2.3210104496,Duroc,48.846992501,2.3165423448,#6EC4E8,13,0.3961036179
Duroc,48.846992501,2.3165423448,Saint-François-Xavier,48.85098256,2.3144298646,#6EC4E8,13,0.2920620426
Saint-François-Xavier,48.85098256,2.3144298646,Varenne,48.856393069,2.3147543648,#6EC4E8,13,0.3741630485
Varenne,48.856393069,2.3147543648,Invalides,48.86085079,2.3145481126,#6EC4E8,13,0.3081756814
Invalides,48.86085079,2.3145481126,Champs-Elysées-Clémenceau,48.86736657,2.3141910634,#6EC4E8,13,0.4505404174
Champs-Elysées-Clémenceau,48.86736657,2.3141910634,Miromesnil,48.873460326,2.3160412889,#6EC4E8,13,0.4294480246
Miromesnil,48.873460326,2.3160412889,Saint-Lazare,48.876067814,2.3241881008,#6EC4E8,13,0.4127426657
Saint-Lazare,48.876067814,2.3241881008,Liège,48.879537166,2.3268579473,#6EC4E8,13,0.2688509295
Liège,48.879537166,2.3268579473,Place de Clichy,48.883204,2.3272660246,#6EC4E8,13,0.2540638457
Place de Clichy,48.883204,2.3272660246,La Fourche,48.887436843,2.325725222,#6EC4E8,13,0.3008042697
La Fourche,48.887436843,2.325725222,Brochant,48.890626633,2.3201911213,#6EC4E8,13,0.3349287622
Brochant,48.890626633,2.3201911213,Porte de Clichy,48.89443606,2.3135656655,#6EC4E8,13,0.4005352672
Porte de Clichy,48.89443606,2.3135656655,Mairie de Clichy,48.904005432,2.3053681209,#6EC4E8,13,0.7594326856
Mairie de Clichy,48.904005432,2.3053681209,Gabriel-Péri,48.916574836,2.2943289647,#6EC4E8,13,1.0036073459
Gabriel-Péri,48.916574836,2.2943289647,Les Agnettes,48.922916332,2.2859638966,#6EC4E8,13,0.580640915
Les Agnettes,48.922916332,2.2859638966,Asnières-Gennevilliers Les Courtilles,48.930293623,2.2837606332,#6EC4E8,13,0.5195606589
Asnières-Gennevilliers Les Courtilles,48.930293623,2.2837606332,Basilique de Saint-Denis,48.936477493,2.3596397453,#6EC4E8,13,3.4809103726
Basilique de Saint-Denis,48.936477493,2.3596397453,Saint-Denis-Université,48.946110872,2.362045193,#6EC4E8,13,0.6746293842
Saint-Lazare,48.87553767,2.32519649,Madeleine,48.869578971,2.3241624888,#62259D,14,0.4144408904
Madeleine,48.869578971,2.3241624888,Pyramides,48.866613831,2.3344075309,#62259D,14,0.5100064013
Pyramides,48.866613831,2.3344075309,Châtelet,48.858956181,2.3473612552,#62259D,14,0.7929603335
Châtelet,48.858956181,2.3473612552,Gare de Lyon,48.844652151,2.3731081475,#62259D,14,1.5347576031
Gare de Lyon,48.844652151,2.3731081475,Bercy,48.840542783,2.3794094631,#62259D,14,0.4040216856
Bercy,48.840542783,2.3794094631,Cour Saint-Emilion,48.833520861,2.3862652367,#62259D,14,0.5772650011
Cour Saint-Emilion,48.833520861,2.3862652367,Bibliothèque-François Mitterrand,48.829830695,2.3761200093,#62259D,14,0.5284193269
Bibliothèque-François Mitterrand,48.829830695,2.3761200093,Olympiades,48.826948282,2.3670384334,#62259D,14,0.4597153915
Antony,48.754494894,2.3007701501,Orly 1-2-3,48.729564991,2.3595642394,#050D9E,orv,3.1917467649
Orly 1-2-3,48.729564991,2.3595642394,Orly 4,48.728924576,2.3693599439,#050D9E,orv,0.4499701748
Saint-Germain-en-Laye,48.898478199,2.0945388041,Le Vésinet-Le Pecq,48.898350894,2.1218289254,#E2231A,A,1.2433482595
Le Vésinet-Le Pecq,48.898350894,2.1218289254,Le Vésinet-Centre,48.890095706,2.1343746143,#E2231A,A,0.8075613697
Le Vésinet-Centre,48.890095706,2.1343746143,Chatou-Croissy,48.885196016,2.1556393056,#E2231A,A,1.0264576855
Chatou-Croissy,48.885196016,2.1556393056,Rueil-Malmaison,48.887168137,2.1706233783,#E2231A,A,0.6962953716
Rueil-Malmaison,48.887168137,2.1706233783,Nanterre-Ville,48.895325147,2.1958404739,#E2231A,A,1.2798419354
Nanterre-Ville,48.895325147,2.1958404739,Nanterre-Université,48.900989014,2.2137917122,#E2231A,A,0.9066728395
Nanterre-Université,48.900989014,2.2137917122,Nanterre-Préfecture,48.895659932,2.2231003281,#E2231A,A,0.5616594974
Nanterre-Préfecture,48.895659932,2.2231003281,La Défense (Grande Arche),48.892005654,2.2369831238,#E2231A,A,0.6810874657
La Défense (Grande Arche),48.892005654,2.2369831238,Charles de Gaulle-Etoile,48.873904099,2.295031901,#E2231A,A,2.9262817299
Charles de Gaulle-Etoile,48.873904099,2.295031901,Auber,48.87260818,2.3297068164,#E2231A,A,1.583090144
Auber,48.87260818,2.3297068164,Châtelet-Les Halles,48.861463711,2.3468441316,#E2231A,A,1.0969947807
Châtelet-Les Halles,48.861463711,2.3468441316,Gare de Lyon,48.844472156,2.3739114213,#E2231A,A,1.703535492
Gare de Lyon,48.844472156,2.3739114213,Nation,48.84844482,2.3959072371,#E2231A,A,1.0400333401
Nation,48.84844482,2.3959072371,Vincennes,48.847323871,2.4335315969,#E2231A,A,1.717611727
Vincennes,48.847323871,2.4335315969,Fontenay-sous-Bois,48.843411859,2.4648154033,#E2231A,A,1.4521563962
Fontenay-sous-Bois,48.843411859,2.4648154033,Nogent-sur-Marne,48.835108774,2.4716839162,#E2231A,A,0.6537121389
Nogent-sur-Marne,48.835108774,2.4716839162,Joinville-le-Pont,48.821069678,2.4638349563,#E2231A,A,1.0340893218
Joinville-le-Pont,48.821069678,2.4638349563,Saint-Maur Créteil,48.806419609,2.4720450509,#E2231A,A,1.0794362663
Saint-Maur Créteil,48.806419609,2.4720450509,Le Parc de Saint-Maur,48.805280012,2.4855943248,#E2231A,A,0.6234269069
Le Parc de Saint-Maur,48.805280012,2.4855943248,Champigny,48.807035802,2.5099016684,#E2231A,A,1.1160747006
Champigny,48.807035802,2.5099016684,La Varenne-Chennevières,48.794933545,2.5130447577,#E2231A,A,0.8484859796
La Varenne-Chennevières,48.794933545,2.5130447577,Sucy Bonneuil,48.771051533,2.5075112683,#E2231A,A,1.6694778643
Sucy Bonneuil,48.771051533,2.5075112683,Boissy-Saint-Léger,48.752988645,2.505222846,#E2231A,A,1.2525099509
Boissy-Saint-Léger,48.752988645,2.505222846,Torcy,48.839597138,2.6545815812,#E2231A,A,9.0723892856
Torcy,48.839597138,2.6545815812,Bussy-Saint-Georges,48.836650828,2.7098540585,#E2231A,A,2.5294058923
Bussy-Saint-Georges,48.836650828,2.7098540585,Val d'europe,48.855497048,2.7736084332,#E2231A,A,3.1859494941
Val d'europe,48.855497048,2.7736084332,Marne-la-Vallée Chessy,48.870167774,2.7824920526,#E2231A,A,1.0916725961
Aulnay-sous-Bois,48.932108763,2.4933095626,Blanc-Mesnil,48.93220117,2.4767508712,#7BA3DC,B,0.7539205282
Blanc-Mesnil,48.93220117,2.4767508712,Drancy,48.932709809,2.4551053452,#7BA3DC,B,0.9861104469
Drancy,48.932709809,2.4551053452,Le Bourget,48.93068623,2.4256937696,#7BA3DC,B,1.3463602917
Le Bourget,48.93068623,2.4256937696,La Courneuve-Aubervilliers,48.924023435,2.3844006647,#7BA3DC,B,1.9357465795
La Courneuve-Aubervilliers,48.924023435,2.3844006647,La Plaine-Stade de France,48.918116641,2.3626045186,#7BA3DC,B,1.0732152245
La Plaine-Stade de France,48.918116641,2.3626045186,Gare du Nord,48.880839206,2.3565770154,#7BA3DC,B,2.5905153517
Gare du Nord,48.880839206,2.3565770154,Châtelet-Les Halles,48.861796248,2.3468033287,#7BA3DC,B,1.3892619868
Châtelet-Les Halles,48.861796248,2.3468033287,Saint-Michel Notre-Dame,48.853680781,2.3442413996,#7BA3DC,B,0.5728226375
Saint-Michel Notre-Dame,48.853680781,2.3442413996,Luxembourg,48.846778559,2.3404411812,#7BA3DC,B,0.5074576564
Luxembourg,48.846778559,2.3404411812,Port-Royal,48.839885166,2.3368734409,#7BA3DC,B,0.5033649168
Port-Royal,48.839885166,2.3368734409,Denfert-Rochereau,48.833315186,2.3334427638,#7BA3DC,B,0.4802040478
Denfert-Rochereau,48.833315186,2.3334427638,Cité Universitaire,48.820768472,2.3394051703,#7BA3DC,B,0.9086585364
Cité Universitaire,48.820768472,2.3394051703,Gentilly,48.815249979,2.3409291775,#7BA3DC,B,0.3876192636
Gentilly,48.815249979,2.3409291775,Laplace,48.807583413,2.3333494015,#7BA3DC,B,0.6327032707
Laplace,48.807583413,2.3333494015,Arcueil-Cachan,48.798442508,2.328044199,#7BA3DC,B,0.6764674959
Arcueil-Cachan,48.798442508,2.328044199,Bagneux,48.793228768,2.3208488828,#7BA3DC,B,0.4875403961
Bagneux,48.793228768,2.3208488828,Bourg-la-Reine,48.780050938,2.312162626,#7BA3DC,B,0.9932158428
Bourg-la-Reine,48.780050938,2.312162626,Sceaux,48.781484949,2.2972966909,#7BA3DC,B,0.6860623303
Sceaux,48.781484949,2.2972966909,Fontenay-aux-Roses,48.787630848,2.292095993,#7BA3DC,B,0.4865692879
Fontenay-aux-Roses,48.787630848,2.292095993,Robinson,48.780031321,2.2810593785,#7BA3DC,B,0.7278336695
Robinson,48.780031321,2.2810593785,Bagneux,48.793228768,2.3208488828,#7BA3DC,B,2.0328474137
Bagneux,48.793228768,2.3208488828,Bourg-la-Reine,48.780050938,2.312162626,#7BA3DC,B,0.9932158428
Bourg-la-Reine,48.780050938,2.312162626,Sceaux,48.781484949,2.2972966909,#7BA3DC,B,0.6860623303
Sceaux,48.781484949,2.2972966909,Fontenay-aux-Roses,48.787630848,2.292095993,#7BA3DC,B,0.4865692879
Fontenay-aux-Roses,48.787630848,2.292095993,Robinson,48.780031321,2.2810593785,#7BA3DC,B,0.7278336695
Robinson,48.780031321,2.2810593785,Bures-sur-Yvette,48.69573265,2.1630896752,#7BA3DC,B,7.9373749875
Bures-sur-Yvette,48.69573265,2.1630896752,La Hacquinière,48.695060732,2.1526641368,#7BA3DC,B,0.4791548537
La Hacquinière,48.695060732,2.1526641368,Gif-sur-Yvette,48.69819921,2.1369288994,#7BA3DC,B,0.7517276223
Gif-sur-Yvette,48.69819921,2.1369288994,Courcelle-sur-Yvette,48.70093369,2.0990454282,#7BA3DC,B,1.7430491956
Courcelle-sur-Yvette,48.70093369,2.0990454282,Saint-Rémy-lès-Chevreuse,48.702868684,2.0706002145,#7BA3DC,B,1.307867165
Saint-Rémy-lès-Chevreuse,48.702868684,2.0706002145,Saint-Rémy-lès-Chevreuse,48.702868684,2.0706002145,#7BA3DC,B,0
Saint-Rémy-lès-Chevreuse,48.702868684,2.0706002145,La Hacquinière,48.695060732,2.1526641368,#7BA3DC,B,3.7921971769
La Hacquinière,48.695060732,2.1526641368,Gif-sur-Yvette,48.69819921,2.1369288994,#7BA3DC,B,0.7517276223
Gif-sur-Yvette,48.69819921,2.1369288994,Courcelle-sur-Yvette,48.70093369,2.0990454282,#7BA3DC,B,1.7430491956
Courcelle-sur-Yvette,48.70093369,2.0990454282,Saint-Rémy-lès-Chevreuse,48.702868684,2.0706002145,#7BA3DC,B,1.307867165
Saint-Rémy-lès-Chevreuse,48.702868684,2.0706002145,La Hacquinière,48.695060732,2.1526641368,#7BA3DC,B,3.7921971769
La Hacquinière,48.695060732,2.1526641368,Gif-sur-Yvette,48.69819921,2.1369288994,#7BA3DC,B,0.7517276223
Gif-sur-Yvette,48.69819921,2.1369288994,Courcelle-sur-Yvette,48.70093369,2.0990454282,#7BA3DC,B,1.7430491956
Courcelle-sur-Yvette,48.70093369,2.0990454282,Saint-Rémy-lès-Chevreuse,48.702868684,2.0706002145,#7BA3DC,B,1.307867165
GARE DE NOISY-LE-SEC,48.895803743,2.4604190621,PETIT NOISY,48.90002259,2.4652682832,#003CA6,T1,0.3657842465
PETIT NOISY,48.90002259,2.4652682832,PONT DE BONDY,48.904726603,2.4700513746,#003CA6,T1,0.3913296516
PONT DE BONDY,48.904726603,2.4700513746,AUGUSTE DELAUNE,48.906723202,2.4603086864,#003CA6,T1,0.4647555635
AUGUSTE DELAUNE,48.906723202,2.4603086864,JEAN ROSTAND,48.907834689,2.4542716481,#003CA6,T1,0.2855186255
JEAN ROSTAND,48.907834689,2.4542716481,BOBIGNY - PABLO PICASSO,48.9066436,2.4499199449,#003CA6,T1,0.2146335652
BOBIGNY - PABLO PICASSO,48.9066436,2.4499199449,HOTEL DE VILLE DE BOBIGNY,48.906676468,2.4434851094,#003CA6,T1,0.2931267808
HOTEL DE VILLE DE BOBIGNY,48.906676468,2.4434851094,LIBERATION,48.906986138,2.4387686026,#003CA6,T1,0.2159074027
LIBERATION,48.906986138,2.4387686026,LA FERME,48.909737143,2.4376287301,#003CA6,T1,0.197061471
LA FERME,48.909737143,2.4376287301,ESCADRILLE NORMANDIE-NIEMEN,48.912902739,2.4350305951,#003CA6,T1,0.2487054325
ESCADRILLE NORMANDIE-NIEMEN,48.912902739,2.4350305951,GASTON ROULAUD,48.914254052,2.4309698355,#003CA6,T1,0.2071849218
GASTON ROULAUD,48.914254052,2.4309698355,HOPITAL AVICENNE,48.915866684,2.42579119,#003CA6,T1,0.2608567583
HOPITAL AVICENNE,48.915866684,2.42579119,DRANCY - AVENIR,48.918083495,2.4172859438,#003CA6,T1,0.4165392468
DRANCY - AVENIR,48.918083495,2.4172859438,MAURICE LACHATRE,48.919091976,2.4143420096,#003CA6,T1,0.1510992069
MAURICE LACHATRE,48.919091976,2.4143420096,LA COURNEUVE - 8 MAI 1945,48.920549824,2.411248598,#003CA6,T1,0.1731870458
LA COURNEUVE - 8 MAI 1945,48.920549824,2.411248598,DANTON,48.922835208,2.4067651178,#003CA6,T1,0.2581179873
DANTON,48.922835208,2.4067651178,STADE GEO ANDRE,48.924446512,2.4020758267,#003CA6,T1,0.2408189151
STADE GEO ANDRE,48.924446512,2.4020758267,HOTEL DE VILLE DE LA COURNEUVE,48.927416823,2.3929143193,#003CA6,T1,0.4649227964
HOTEL DE VILLE DE LA COURNEUVE,48.927416823,2.3929143193,LA COURNEUVE - SIX ROUTES,48.930242387,2.3843790474,#003CA6,T1,0.4349161257
LA COURNEUVE - SIX ROUTES,48.930242387,2.3843790474,COSMONAUTES,48.931817368,2.3782152527,#003CA6,T1,0.3009997154
COSMONAUTES,48.931817368,2.3782152527,HOPITAL DELAFONTAINE,48.933616947,2.3711918916,#003CA6,T1,0.3430894284
HOPITAL DELAFONTAINE,48.933616947,2.3711918916,CIMETIERE DE SAINT-DENIS,48.936422657,2.364073078,#003CA6,T1,0.3776561108
CIMETIERE DE SAINT-DENIS,48.936422657,2.364073078,BASILIQUE DE SAINT-DENIS,48.937618355,2.3620002027,#003CA6,T1,0.125426374
BASILIQUE DE SAINT-DENIS,48.937618355,2.3620002027,MARCHE DE SAINT-DENIS,48.938635016,2.3556436661,#003CA6,T1,0.2977754069
MARCHE DE SAINT-DENIS,48.938635016,2.3556436661,THEATRE GERARD PHILIPE,48.937251775,2.3500502359,#003CA6,T1,0.2719807683
THEATRE GERARD PHILIPE,48.937251775,2.3500502359,GARE DE SAINT-DENIS,48.93603897,2.345248306,#003CA6,T1,0.2341194552
GARE DE SAINT-DENIS,48.93603897,2.345248306,L'ILE-SAINT-DENIS,48.93588643,2.3399692331,#003CA6,T1,0.2405613924
L'ILE-SAINT-DENIS,48.93588643,2.3399692331,MAIRIE DE VILLENEUVE-LA GARENNE,48.935778578,2.3341172701,#003CA6,T1,0.2665161422
MAIRIE DE VILLENEUVE-LA GARENNE,48.935778578,2.3341172701,LA NOUE,48.935131108,2.3268058643,#003CA6,T1,0.3358494059
LA NOUE,48.935131108,2.3268058643,CHEMIN DES RENIERS,48.934771064,2.3215952045,#003CA6,T1,0.2385217471
CHEMIN DES RENIERS,48.934771064,2.3215952045,PARC DES CHANTERAINES,48.93408673,2.3135202468,#003CA6,T1,0.3706535234
PARC DES CHANTERAINES,48.93408673,2.3135202468,GARE DE GENNEVILLIERS,48.933438207,2.3070277563,#003CA6,T1,0.298962161
GARE DE GENNEVILLIERS,48.933438207,2.3070277563,TIMBAUD,48.933499386,2.3008350122,#003CA6,T1,0.2819710597
TIMBAUD,48.933499386,2.3008350122,LE VILLAGE,48.933398479,2.2946423866,#003CA6,T1,0.282020296
LE VILLAGE,48.933398479,2.2946423866,LE LUTH,48.931733536,2.2884512588,#003CA6,T1,0.3044466901
LE LUTH,48.931733536,2.2884512588,LES COURTILLES,48.930113627,2.2831879628,#003CA6,T1,0.264491457
